1016950|573|thank you all very much|638, 365, 76, 392, 74, 792, 566, 296, 83, 77, 573, 744, 66, 563, 634, 376, 78, 75, 86, 82, 378, 624, 295, 374, 371, 368, 567, 377, 375, 619, 589, 379, 587, 759, 803, 298, 737, 372, 370, 285, 386, 787, 65, 622, 635, 142, 360, 575, 373, 148, 564, 577, 277, 569, 572, 144, 186, 152, 149, 576, 352, 387, 468, 786, 363, 153, 154, 332, 568, 574, 389, 607, 300, 633, 590, 297, 201, 396, 145, 631, 592, 591, 302, 391, 578, 509, 608, 597, 286, 350, 501, 614, 146, 583, 593, 565, 612, 515, 581, 604
1215955|573|aw all dressed up and no where to go|569, 277, 285, 604, 597, 633, 631, 350, 583, 332, 592, 591, 370, 607, 373, 577, 744, 286, 298, 352, 360, 386, 568, 144, 302, 371, 377, 515, 145, 77, 566, 152, 78, 376, 86, 201, 593, 614, 608, 575, 564, 581, 619, 379, 587, 624, 573, 186, 634, 65, 576, 737, 567, 622, 612, 786, 387, 374, 389, 509, 787, 372, 635, 578, 75, 391, 759, 378, 368, 589, 574, 396, 142, 565, 297, 563, 363, 590, 153, 82, 572, 375, 149, 148, 83, 66, 76, 295, 74, 146, 296, 792, 392, 638, 803, 468, 154, 300, 365, 501
1728930|573|thanks sweet it s a great bike to ride|577, 389, 375, 65, 737, 564, 468, 396, 572, 365, 387, 76, 298, 295, 391, 612, 285, 567, 372, 296, 379, 563, 82, 568, 566, 371, 759, 638, 386, 608, 635, 744, 370, 186, 360, 297, 515, 589, 597, 575, 142, 152, 787, 583, 581, 569, 332, 154, 574, 604, 509, 145, 146, 302, 74, 624, 368, 607, 77, 66, 392, 592, 573, 792, 587, 378, 376, 578, 374, 591, 631, 622, 75, 377, 619, 590, 634, 277, 78, 803, 86, 83, 565, 373, 576, 144, 593, 352, 300, 149, 363, 153, 148, 501, 286, 786, 201, 614, 633, 350
1961165|573|haha thank you|567, 638, 744, 573, 563, 295, 624, 619, 564, 566, 569, 575, 142, 296, 759, 587, 803, 787, 577, 589, 572, 633, 75, 631, 298, 368, 370, 565, 634, 375, 568, 379, 635, 371, 622, 792, 377, 77, 786, 574, 372, 590, 386, 592, 350, 591, 360, 83, 376, 373, 374, 365, 578, 387, 78, 297, 74, 277, 378, 737, 144, 285, 607, 82, 352, 65, 66, 509, 76, 389, 614, 363, 86, 576, 392, 153, 186, 332, 396, 302, 468, 515, 286, 148, 612, 501, 608, 391, 152, 300, 149, 201, 581, 145, 597, 583, 604, 154, 146, 593
1882515|573|and i m your 100 follower there|296, 786, 608, 285, 583, 787, 396, 286, 619, 363, 634, 144, 744, 635, 576, 277, 360, 581, 593, 75, 297, 350, 587, 575, 803, 612, 597, 370, 567, 371, 590, 515, 375, 154, 622, 386, 759, 578, 633, 604, 152, 592, 153, 468, 82, 379, 607, 566, 563, 568, 142, 501, 631, 365, 201, 372, 149, 76, 624, 577, 374, 295, 298, 302, 377, 572, 565, 368, 614, 352, 389, 148, 569, 145, 591, 78, 387, 186, 574, 66, 74, 378, 391, 392, 638, 589, 83, 509, 65, 737, 573, 332, 373, 376, 564, 792, 77, 86, 300, 146
493510|573|enhanced somewhat with saturation|300, 501, 576, 297, 622, 759, 201, 392, 66, 792, 509, 589, 296, 76, 624, 368, 298, 74, 374, 376, 786, 634, 612, 363, 75, 77, 365, 635, 379, 286, 803, 370, 744, 396, 144, 350, 373, 377, 371, 563, 619, 633, 567, 295, 375, 573, 372, 631, 515, 587, 387, 565, 578, 566, 360, 787, 82, 575, 577, 468, 638, 386, 574, 302, 78, 389, 148, 737, 590, 83, 65, 277, 153, 149, 564, 608, 378, 86, 285, 352, 332, 569, 142, 604, 572, 614, 154, 581, 591, 592, 152, 145, 568, 146, 186, 597, 607, 583, 391, 593
1420866|573|echt wie cool|612, 633, 370, 567, 297, 371, 614, 578, 144, 590, 563, 379, 575, 631, 564, 587, 372, 597, 360, 298, 576, 368, 759, 389, 622, 619, 142, 387, 787, 377, 803, 363, 572, 569, 286, 744, 201, 515, 565, 376, 350, 375, 74, 352, 593, 604, 592, 574, 583, 581, 568, 285, 302, 152, 608, 378, 577, 300, 501, 295, 792, 374, 566, 392, 396, 66, 386, 509, 468, 65, 737, 296, 76, 635, 573, 82, 786, 83, 591, 373, 186, 75, 77, 78, 86, 149, 589, 624, 148, 277, 607, 634, 365, 153, 154, 638, 391, 332, 146, 145
1562576|573|hi you are on facebook|633, 300, 501, 573, 295, 297, 622, 787, 509, 296, 298, 612, 365, 803, 142, 144, 350, 563, 604, 567, 587, 578, 566, 591, 575, 577, 468, 638, 386, 574, 302, 564, 608, 86, 352, 597, 332, 607, 569, 572, 581, 592, 186, 583, 576, 759, 201, 392, 66, 792, 589, 76, 624, 368, 74, 374, 376, 786, 634, 363, 75, 77, 635, 379, 286, 370, 744, 396, 373, 377, 371, 619, 375, 372, 631, 515, 387, 565, 360, 82, 78, 389, 148, 737, 590, 83, 65, 277, 153, 149, 378, 285, 614, 154, 152, 145, 568, 146, 391, 593
930409|573|thank you so much my dear friend|638, 365, 76, 74, 83, 296, 792, 77, 392, 378, 78, 75, 376, 86, 634, 566, 744, 573, 82, 368, 66, 624, 371, 374, 379, 375, 377, 587, 563, 372, 759, 295, 575, 370, 803, 567, 589, 737, 619, 386, 360, 142, 148, 152, 65, 186, 622, 285, 332, 635, 277, 149, 572, 787, 373, 153, 577, 352, 298, 576, 389, 786, 154, 387, 144, 569, 363, 201, 145, 564, 468, 607, 568, 300, 396, 501, 574, 146, 597, 631, 302, 583, 509, 286, 297, 591, 608, 592, 350, 614, 578, 515, 612, 633, 590, 391, 593, 565, 604, 581
1250708|573|really glad you like it lia|573, 365, 575, 75, 392, 567, 296, 744, 295, 566, 638, 792, 86, 376, 569, 564, 568, 572, 468, 76, 379, 363, 368, 298, 83, 563, 371, 377, 587, 787, 635, 66, 577, 375, 78, 565, 396, 372, 186, 370, 373, 142, 608, 583, 74, 803, 77, 65, 277, 386, 387, 607, 389, 332, 285, 82, 352, 619, 759, 350, 634, 614, 378, 578, 297, 360, 286, 576, 574, 391, 591, 300, 737, 590, 302, 624, 593, 374, 509, 786, 633, 515, 581, 612, 144, 589, 152, 597, 501, 631, 592, 148, 622, 153, 146, 201, 145, 149, 154, 604
